ID,Account Currency (From),Account Currency (To),Account Paid From,Account Paid To,Company,Paid Amount,Paid Amount (Company Currency),Payment Type,Posting Date,Received Amount,Received Amount (Company Currency),Series,Source Exchange Rate,Target Exchange Rate,ID (Payment References),Type (Payment References),Name (Payment References),ID (Advance Taxes and Charges),Account Head (Advance Taxes and Charges),Add Or Deduct (Advance Taxes and Charges),Description (Advance Taxes and Charges),Party Type,Party,Cheque/Reference Date,Cheque/Reference No,Type (Advance Taxes and Charges)
ACC-PAY-2024-12070,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"7500,00","7500,00",Pay,2024-02-28,"7500,00","7500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2024-29468,Purchase Invoice,ACC-PINV-2024-79948,ADTAX-2024-16371,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-2823,2024-02-28,827,Actual
ACC-PAY-2022-32673,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"12500,00","12500,00",Pay,2022-08-02,"12500,00","12500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2022-43054,Purchase Invoice,ACC-PINV-2022-65846,ADTAX-2022-70669,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-7885,2022-08-02,686,Actual
ACC-PAY-2019-75568,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"90000,00","90000,00",Pay,2019-12-24,"90000,00","90000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2019-05419,Purchase Invoice,ACC-PINV-2019-98893,ADTAX-2019-58550,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-9946,2019-12-24,520,Actual
ACC-PAY-2024-71895,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"15000,00","15000,00",Pay,2024-07-09,"15000,00","15000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2024-25633,Purchase Invoice,ACC-PINV-2024-10962,ADTAX-2024-23801,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-4770,2024-07-09,254,Actual
ACC-PAY-2024-68824,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"125000,00","125000,00",Pay,2024-10-11,"125000,00","125000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2024-68845,Purchase Invoice,ACC-PINV-2024-72644,ADTAX-2024-61583,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-5273,2024-10-11,101,Actual
ACC-PAY-2024-54873,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"20000,00","20000,00",Pay,2024-06-13,"20000,00","20000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2024-71057,Purchase Invoice,ACC-PINV-2024-80303,ADTAX-2024-01225,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-3188,2024-06-13,242,Actual
ACC-PAY-2021-44889,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"12500,00","12500,00",Pay,2021-06-19,"12500,00","12500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2021-73895,Purchase Invoice,ACC-PINV-2021-04567,ADTAX-2021-53108,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-4365,2021-06-19,258,Actual
ACC-PAY-2020-53495,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"2500,00","2500,00",Pay,2020-09-28,"2500,00","2500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2020-56975,Purchase Invoice,ACC-PINV-2020-41354,ADTAX-2020-13519,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-3098,2020-09-28,545,Actual
ACC-PAY-2023-00790,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"12500,00","12500,00",Pay,2023-04-11,"12500,00","12500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2023-91632,Purchase Invoice,ACC-PINV-2023-58181,ADTAX-2023-40204,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-8452,2023-04-11,340,Actual
ACC-PAY-2023-76474,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"40000,00","40000,00",Pay,2023-02-06,"40000,00","40000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2023-74776,Purchase Invoice,ACC-PINV-2023-65663,ADTAX-2023-05661,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-5367,2023-02-06,267,Actual
ACC-PAY-2022-54232,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"40000,00","40000,00",Pay,2022-11-23,"40000,00","40000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2022-03415,Purchase Invoice,ACC-PINV-2022-46816,ADTAX-2022-14053,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-8134,2022-11-23,602,Actual
ACC-PAY-2020-56336,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"17500,00","17500,00",Pay,2020-02-15,"17500,00","17500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2020-82508,Purchase Invoice,ACC-PINV-2020-31335,ADTAX-2020-09094,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-9131,2020-02-15,931,Actual
ACC-PAY-2021-97622,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"15000,00","15000,00",Pay,2021-04-13,"15000,00","15000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2021-97362,Purchase Invoice,ACC-PINV-2021-79036,ADTAX-2021-18475,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-8367,2021-04-13,602,Actual
ACC-PAY-2021-24924,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"7500,00","7500,00",Pay,2021-05-24,"7500,00","7500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2021-45644,Purchase Invoice,ACC-PINV-2021-46439,ADTAX-2021-61263,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-4365,2021-05-24,629,Actual
ACC-PAY-2020-53995,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"15000,00","15000,00",Pay,2020-06-02,"15000,00","15000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2020-29751,Purchase Invoice,ACC-PINV-2020-32455,ADTAX-2020-72840,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-4770,2020-06-02,876,Actual
ACC-PAY-2021-33067,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"15000,00","15000,00",Pay,2021-09-21,"15000,00","15000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2021-75434,Purchase Invoice,ACC-PINV-2021-97937,ADTAX-2021-07635,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-8367,2021-09-21,498,Actual
ACC-PAY-2024-10026,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"20000,00","20000,00",Pay,2024-05-25,"20000,00","20000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2024-05933,Purchase Invoice,ACC-PINV-2024-13853,ADTAX-2024-19060,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-4312,2024-05-25,649,Actual
ACC-PAY-2022-66088,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"200000,00","200000,00",Pay,2022-06-24,"200000,00","200000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2022-05402,Purchase Invoice,ACC-PINV-2022-35103,ADTAX-2022-66938,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-1942,2022-06-24,968,Actual
ACC-PAY-2024-33396,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"7500,00","7500,00",Pay,2024-10-10,"7500,00","7500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2024-90535,Purchase Invoice,ACC-PINV-2024-74945,ADTAX-2024-33736,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-8134,2024-10-10,481,Actual
ACC-PAY-2024-07672,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"25000,00","25000,00",Pay,2024-07-10,"25000,00","25000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2024-07416,Purchase Invoice,ACC-PINV-2024-16564,ADTAX-2024-85132,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-8367,2024-07-10,732,Actual
ACC-PAY-2024-78432,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"15000,00","15000,00",Pay,2024-09-05,"15000,00","15000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2024-86654,Purchase Invoice,ACC-PINV-2024-37643,ADTAX-2024-20866,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-4770,2024-09-05,318,Actual
ACC-PAY-2021-40098,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"7500,00","7500,00",Pay,2021-10-03,"7500,00","7500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2021-44975,Purchase Invoice,ACC-PINV-2021-04697,ADTAX-2021-47811,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-4365,2021-10-03,410,Actual
ACC-PAY-2022-43208,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"20000,00","20000,00",Pay,2022-05-30,"20000,00","20000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2022-12146,Purchase Invoice,ACC-PINV-2022-14226,ADTAX-2022-14357,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-1186,2022-05-30,862,Actual
ACC-PAY-2019-80699,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"7500,00","7500,00",Pay,2019-12-18,"7500,00","7500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2019-32224,Purchase Invoice,ACC-PINV-2019-82013,ADTAX-2019-25897,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-4312,2019-12-18,478,Actual
ACC-PAY-2022-34816,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"7500,00","7500,00",Pay,2022-11-28,"7500,00","7500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2022-31763,Purchase Invoice,ACC-PINV-2022-55722,ADTAX-2022-41984,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-2823,2022-11-28,675,Actual
ACC-PAY-2020-97692,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"2500,00","2500,00",Pay,2020-03-15,"2500,00","2500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2020-05203,Purchase Invoice,ACC-PINV-2020-96076,ADTAX-2020-57224,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-3098,2020-03-15,296,Actual
ACC-PAY-2023-90854,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"7500,00","7500,00",Pay,2023-10-03,"7500,00","7500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2023-52167,Purchase Invoice,ACC-PINV-2023-54128,ADTAX-2023-11669,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-7331,2023-10-03,476,Actual
ACC-PAY-2023-84817,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"125000,00","125000,00",Pay,2023-09-04,"125000,00","125000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2023-58116,Purchase Invoice,ACC-PINV-2023-99825,ADTAX-2023-05958,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-5273,2023-09-04,25,Actual
ACC-PAY-2021-82977,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"17500,00","17500,00",Pay,2021-03-24,"17500,00","17500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2021-30737,Purchase Invoice,ACC-PINV-2021-66225,ADTAX-2021-32831,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-9131,2021-03-24,146,Actual
ACC-PAY-2021-37289,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"12500,00","12500,00",Pay,2021-08-08,"12500,00","12500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2021-60952,Purchase Invoice,ACC-PINV-2021-03701,ADTAX-2021-07520,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-7885,2021-08-08,502,Actual
ACC-PAY-2020-57076,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"10000,00","10000,00",Pay,2020-10-31,"10000,00","10000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2020-79694,Purchase Invoice,ACC-PINV-2020-76646,ADTAX-2020-49450,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-4108,2020-10-31,963,Actual
ACC-PAY-2023-86490,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"20000,00","20000,00",Pay,2023-10-28,"20000,00","20000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2023-86449,Purchase Invoice,ACC-PINV-2023-41950,ADTAX-2023-37799,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-8367,2023-10-28,913,Actual
ACC-PAY-2020-03591,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"20000,00","20000,00",Pay,2020-11-21,"20000,00","20000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2020-29869,Purchase Invoice,ACC-PINV-2020-57981,ADTAX-2020-13427,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-1186,2020-11-21,869,Actual
ACC-PAY-2023-65761,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"100000,00","100000,00",Pay,2023-03-19,"100000,00","100000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2023-69844,Purchase Invoice,ACC-PINV-2023-91708,ADTAX-2023-47586,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-7331,2023-03-19,298,Actual
ACC-PAY-2024-79744,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"125000,00","125000,00",Pay,2024-02-02,"125000,00","125000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2024-79141,Purchase Invoice,ACC-PINV-2024-75141,ADTAX-2024-48618,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-5273,2024-02-02,88,Actual
ACC-PAY-2021-56727,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"10000,00","10000,00",Pay,2021-01-03,"10000,00","10000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2021-89438,Purchase Invoice,ACC-PINV-2020-17482,ADTAX-2021-59167,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-1186,2021-01-03,995,Actual
ACC-PAY-2024-07856,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"40000,00","40000,00",Pay,2024-02-08,"40000,00","40000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2024-41548,Purchase Invoice,ACC-PINV-2024-40442,ADTAX-2024-61508,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-5367,2024-02-08,105,Actual
ACC-PAY-2022-74886,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"7500,00","7500,00",Pay,2022-12-21,"7500,00","7500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2022-87339,Purchase Invoice,ACC-PINV-2022-35812,ADTAX-2022-76607,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-4365,2022-12-21,920,Actual
ACC-PAY-2022-32455,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"30000,00","30000,00",Pay,2022-12-25,"30000,00","30000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2022-01497,Purchase Invoice,ACC-PINV-2022-25308,ADTAX-2022-20948,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-5728,2022-12-25,929,Actual
ACC-PAY-2024-99337,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"15000,00","15000,00",Pay,2024-03-18,"15000,00","15000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2024-52091,Purchase Invoice,ACC-PINV-2024-80594,ADTAX-2024-36327,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-8367,2024-03-18,25,Actual
ACC-PAY-2022-05933,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"7500,00","7500,00",Pay,2022-11-23,"7500,00","7500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2022-97215,Purchase Invoice,ACC-PINV-2022-33759,ADTAX-2022-84828,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-4365,2022-11-23,987,Actual
ACC-PAY-2023-51674,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"12500,00","12500,00",Pay,2023-10-24,"12500,00","12500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2023-06166,Purchase Invoice,ACC-PINV-2023-63791,ADTAX-2023-24241,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-9131,2023-10-24,614,Actual
